
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444406418579 ;ES ;ALEGRE ;CELINA ;RUA  PADRE HENRIQUE HUBEN, N. 126, ;318.000,00;318.000,00;0.00;Casa, 0.00 de área total, 65.49 de área privativa, 204.33 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406418579
 10209013 ;ES ;CACHOEIRO DE ITAPEMIRIM ;WALDIR FURTADO AMORIM ;RUA ALCEBÍADES JOSÉ SOBREIRA, N. 134a180 ;2.644.599,41;5.187.000,00;49.02;Gleba Urbana, 0.00 de área total, 0.00 de área privativa, 20005.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10209013
 10208964 ;ES ;CACHOEIRO DE ITAPEMIRIM ;WALDIR FURTADO AMORIM ;AVENIDA ARISTÓTELES MENICUCCI, N. 76 A 120 ;6.522.421,72;10.682.000,00;38.95;Galpão, 0.00 de área total, 10480.15 de área privativa, 11602.38 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10208964
 8787709931470 ;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. 23, Apto 203, BL 14 PAV 2 VG 141 ;87.233,99;149.000,00;41.46;Apartamento, 60.26 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709931470
 8787712497858 ;ES ;CARIACICA ;JARDIM DE ALAH ;RUA TREZE, N. 160, Apto 501, BL 13 TÉRREO VG 47 ;106.667,03;180.000,00;40.75;Apartamento, 59.40 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712497858
 8787708019343 ;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. 23, Apto 301, BL 15 VG 30/ 85 ;150.014,60;245.000,00;38.77;Apartamento, 70.80 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708019343
 8555520528681 ;ES ;CARIACICA ;RIO BRANCO ;RUA SANTA CATARINA, N. 37, Apto 803, QD 16 17 TR 01 ;195.325,14;319.000,00;38.77;Apartamento, 78.79 de área total, 51.71 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555520528681
 8787705056914 ;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. 23, Apto 201, BL 03 ;201.000,00;201.000,00;0.00;Apartamento, 60.45 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705056914
 8787705405641 ;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. 23, Apto 203, BL 10 ;215.000,00;215.000,00;0.00;Apartamento, 70.80 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705405641
 8787707450598 ;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. 23, Apto 203, BL 08 ;200.000,00;200.000,00;0.00;Apartamento, 60.26 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707450598
 8444416247181 ;ES ;CARIACICA ;PORTO DE CARIACICA ;RUA ALECRIM, N. 34, QD 40, LT 2 LOT PORTOBELLO ;163.000,00;163.000,00;0.00;Casa, 55.90 de área total, 55.90 de área privativa, 247.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416247181
 8444425661190 ;ES ;CARIACICA ;PROLAR ;RUA DOZE, N. 550, LT 41 QD 06 CS 02 ;170.000,00;160.000,00;0.00;Casa, 115.02 de área total, 53.33 de área privativa, 112.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425661190
 8444422787443 ;ES ;COLATINA ;SAO BRAZ ;RUA ANGELO MOROZINI, N. 30, LT 12 QD 02 ;271.250,89;443.000,00;38.77;Casa, 110.00 de área total, 50.00 de área privativa, 200.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422787443
 1444419505094 ;ES ;ITAPEMIRIM ;PRAIA DE ITAIPAVA ; R DEOZOLINA VIANA DE AGUIAR, N. 181, CS 02 ;172.552,85;285.000,00;39.46;Casa, 122.96 de área total, 107.46 de área privativa, 250.70 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419505094
 8444431711357 ;ES ;JAGUARE ;IRMA TEREZA ALTOE ; RUA ARTHUR DE ALMEIDA SOUZA, N. 136, ;312.467,81;309.000,00;0.00;Casa, 85.43 de área total, 85.43 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431711357
 8444405908513 ;ES ;LINHARES ;PLANALTO ;RUA JOSE CARLOS LANGA, N. SN, CS 2 BL 1 ;240.000,00;240.000,00;0.00;Casa, 61.73 de área total, 61.73 de área privativa, 90.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405908513
 8444406411400 ;ES ;MONTANHA ;VINHÁTICO ; RUA MARECHAL DEODORO, N. 51, LOTE 02B ;84.892,14;145.000,00;41.46;Casa, 62.00 de área total, 62.00 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406411400
 1444405436419 ;ES ;MUCURICI ;SOSTENES F DA SILVA ; RUA RAILDO FERREIRA DA SILVA, N. 40, ;309.097,44;485.000,00;36.27;Casa, 357.49 de área total, 357.49 de área privativa, 650.00 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405436419
 8055600005527 ;ES ;SAO MATEUS ;Guriri ;RUA JOSE VIEIRA DOS SANTOS, N. 582, LT 21 QD 30 ;248.552,58;390.000,00;36.27;Casa, 155.80 de área total, 109.80 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8055600005527
 1444419128614 ;ES ;SAO MATEUS ;AYRTON SENNA ;RUA DAS VIOLETAS, N. 27, QD 13 LT 02 ;213.500,29;335.000,00;36.27;Casa, 123.60 de área total, 123.60 de área privativa, 219.61 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419128614
 8444402684185 ;ES ;SAO MATEUS ;GURIRI SUL ;RUA PEDRO ALVES RIBEIRO, N. SN, LOTE 04-A QUADRA 33-MI ;140.000,00;140.000,00;0.00;Casa, 56.12 de área total, 56.12 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402684185
 10258733 ;ES ;SERRA ;BELVEDERE ;RUA CONCEICAO DO CASTELO, N. S/N, QD 05, LT 13 ;52.769,38;87.377,00;39.61;Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10258733
