
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444408141770 ;MG ;ABADIA DOS DOURADOS ;IVONE SIMAO CALIXTO ; RUA ALICE DE JESUS DA SILVA, N. 130, QD G LT 10 ;395.000,00;395.000,00;0.00;Casa, 0.00 de área total, 137.85 de área privativa, 250.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408141770
 8444403570957 ;MG ;AIMORES ;BETEL ;RUA CANAA, N. 189, LT 53 QD L ;86.882,85;176.000,00;50.64;Casa, 63.96 de área total, 63.96 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403570957
 1444409060278 ;MG ;ALFENAS ;RESIDENCIAL SAO LUCAS ;AVENIDA MANOEL ALVES TAVEIRA, N. 1887, QD J, LT 03 ;400.000,00;400.000,00;0.00;Casa, 138.50 de área total, 138.50 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 2 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409060278
 8444409096041 ;MG ;ALFENAS ;JARDIM EUNICE ;RUA JOSE DO ROSARIO VELANO, N. 255, ;128.343,00;128.343,00;0.00;Casa, 64.56 de área total, 64.56 de área privativa, 228.48 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409096041
 1555539999061 ;MG ;ALMENARA ;CENTRO ; R CANDIDO MARES, N. 601, Apto 1, CS 601 ;220.273,69;370.000,00;40.47;Apartamento, 0.00 de área total, 310.44 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555539999061
 1444409348506 ;MG ;ALMENARA ;CENTRO ;RUA CANDIDO MARES, N. 601, Apto 201, ;217.483,50;350.000,00;37.87;Apartamento, 94.93 de área total, 94.93 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409348506
 10211829 ;MG ;ANGELANDIA ;CENTRO ;RUA CLEMENTE CELESTINO DE ALMEIDA, N. 167 ;227.494,12;385.900,00;41.05;Galpão, 0.00 de área total, 212.65 de área privativa, 418.23 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10211829
 1444422148663 ;MG ;ANTONIO CARLOS ;VALE DO IPÊ ; AVENIDA OESTE DE MINAS, N. SN, LT 05, QD 09 ;186.000,00;186.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 5250.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444422148663
 1444422178414 ;MG ;ANTONIO PRADO DE MINAS ;CENTRO ;RUA JOÃO BATISTA PIERMATEI, N. 26, Apto 101, ;486.310,41;472.000,00;0.00;Apartamento, 230.53 de área total, 166.75 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444422178414
 8787702277855 ;MG ;ARAGUARI ;SAO SEBASTIAO ;RUA E, N. 1041, LT 04 QD 16 ;97.778,11;165.000,00;40.75;Casa, 49.79 de área total, 49.79 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702277855
 1444418273149 ;MG ;ARAGUARI ;CENTRO ;PRACA GAIOSO NEVES, N. 208, ;562.590,93;945.000,00;40.47;Casa, 0.00 de área total, 225.32 de área privativa, 357.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418273149
 10221025 ;MG ;ARAGUARI ;JARDIM PANORAMA ;RUA QUATRO, N. 00, QD 17, LT 04 ;120.219,85;191.000,00;37.06;Terreno, 0.00 de área total, 0.00 de área privativa, 1406.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10221025
 10224694 ;MG ;ARAGUARI ;JARDIM PANORAMA ;RUA NOVE, N. S/N, QD 15, LT 05 ;321.843,72;505.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 2275.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10224694
 8444429612843 ;MG ;ARAGUARI ;VIENO ;RUA JOSE NOCERA, N. SN, QD 12 LT 54 ;196.000,00;84.507,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 266.60 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429612843
 8444426628196 ;MG ;ARAUJOS ;CHIQUINHO PERCÍLIA ;RUA DIVINA CARDOSO, N. 1295, LT 14 QD 14 ;150.000,00;150.000,00;0.00;Casa, 57.24 de área total, 57.24 de área privativa, 476.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426628196
 8444416291776 ;MG ;ARAXA ;JARDIM NATALIA ;RUA CLEIDE CARVALHO BATISTA, N. 225,  LOTE 2 QUADRA 8 ;176.153,54;175.000,00;0.00;Casa, 48.00 de área total, 48.00 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416291776
 8787709680027 ;MG ;ARCOS ;GERALDO CESARIO ;RUA ALFA, N. 25, LT 03 QD 20 ;57.891,78;100.000,00;42.11;Casa, 0.00 de área total, 40.83 de área privativa, 200.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709680027
 8444414147570 ;MG ;AREADO ;ROSÁRIO ;R BAHIA, N. 691, ;60.392,76;100.000,00;39.61;Casa, 0.00 de área total, 48.45 de área privativa, 120.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414147570
 8444421615509 ;MG ;AREADO ;ROSÁRIO ; RUA BAHIA, N. 429, ;57.977,05;96.000,00;39.61;Casa, 68.55 de área total, 68.55 de área privativa, 118.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421615509
 8444410071979 ;MG ;AREADO ;ROSÁRIO ; RUA NOVE, N. 39, LT 06, QD L ;111.816,50;185.000,00;39.56;Casa, 69.75 de área total, 69.75 de área privativa, 132.53 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410071979
 8444425807720 ;MG ;AREADO ;LOT RECANTO VERDE ;RUA TRES, N. 99, LT 13 QD D ;114.838,57;190.000,00;39.56;Casa, 0.00 de área total, 66.08 de área privativa, 163.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425807720
 8444423243862 ;MG ;AREADO ;SÃO VICENTE ; RUA PADRE ANTONIO HENRIQUES DO VALE, N. 877, 877 ;98.816,70;160.000,00;38.24;Casa, 76.50 de área total, 52.50 de área privativa, 144.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423243862
 8444421391821 ;MG ;AREADO ;JARDIM PRIMAVERA ; RUA HUM, N. 129, QD D LT 5 ;186.000,00;186.000,00;0.00;Casa, 60.55 de área total, 40.55 de área privativa, 132.71 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421391821
 8444403674205 ;MG ;ARGIRITA ;CENTRO ; RUA EMILIO VITOI, N. 207, 207 ;101.298,95;177.318,00;42.88;Casa, 0.00 de área total, 115.53 de área privativa, 359.11 de área do terreno,  4 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403674205
