
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444411993284 ;RN ;ACU ;FELIZ ASSU ; R PREFEITO JOAO BATISTA LACERDA MONTENEGRO, N. 1174, QD 11 LT 08 ;67.641,51;118.000,00;42.68;Casa, 52.00 de área total, 52.00 de área privativa, 202.87 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411993284
 8444424773768 ;RN ;ACU ;QUINTA DO FAROL ; RUA DR. CANTÍDIO ROSADO, N. 82, LOTE 25, QUADRA 02 ;68.787,97;120.000,00;42.68;Casa, 64.77 de área total, 64.77 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424773768
 8444400500710 ;RN ;ACU ;Janduis ; AVENIDA MUSICISTA SAMUEL SANDOVAL DA FONSECA, N. 1497, LADO PAR ;54.997,19;95.000,00;42.11;Casa, 69.96 de área total, 69.96 de área privativa, 185.00 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400500710
 8444400714605 ;RN ;ACU ;QUINTA DO FAROL ; RUA LUIZ BENTO DA SILVA, N. 213, LT 14, QD 01 ;56.733,94;98.000,00;42.11;Casa, 67.64 de área total, 67.64 de área privativa, 201.90 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400714605
 8444401195814 ;RN ;ACU ;QUINTA DO FAROL ; DR JERONIMO CABRAL RAPOSO CÂMARA, N. 130, L23 ;52.681,52;91.000,00;42.11;Casa, 70.00 de área total, 70.00 de área privativa, 199.41 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401195814
 8444402445636 ;RN ;ACU ;QUINTA DO FAROL ; RUA ALFERES FRANCISCO SOARES FILGUEIRA, N. 117, ;57.891,78;100.000,00;42.11;Casa, 70.00 de área total, 70.00 de área privativa, 198.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402445636
 8444406180300 ;RN ;ACU ;ALTO SÃO FRANCISCO ; RUA ROSILDA DE OLIVEIRA SILVA, N. 984, LT 20 QD D ;56.733,94;98.000,00;42.11;Casa, 76.35 de área total, 76.35 de área privativa, 200.00 de área do terreno, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406180300
 8444407542257 ;RN ;ACU ;QUINTA DO FAROL ; RUA IRMA MARIA TEREZINHA TAVARES, N. 681, LOTE 122, QUADRA 3 ;56.155,03;97.000,00;42.11;Casa, 67.29 de área total, 67.29 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407542257
 8444410276201 ;RN ;ACU ;QUINTA DO FAROL ; RUA JOSE SOARES DA CAMARA, N. 121, QUADRA 19, LOTE 36 ;51.523,68;89.000,00;42.11;Casa, 54.90 de área total, 54.90 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410276201
 8444414865937 ;RN ;ACU ;LAGOA DO FERREIRO ; RUA LEANDRO MEDEIROS DE OLIVEIRA, N. 20, ;54.997,19;95.000,00;42.11;Casa, 60.90 de área total, 60.90 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414865937
 8444401804624 ;RN ;ACU ;JOAO PAULO II ; RUA PREF. ARCELINO COSTA LEITAO, N. 1531, LT01 QD02 ;78.201,87;135.000,00;42.08;Casa, 102.00 de área total, 102.00 de área privativa, 200.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401804624
 8444402072244 ;RN ;ACU ;FELIZ ASSU ; AV PREFEITO JOAO BATISTA LACERDA MONTENEGRO, N. 1048, ;73.567,68;127.000,00;42.08;Casa, 70.00 de área total, 70.00 de área privativa, 206.12 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402072244
 8444400738016 ;RN ;ACU ;CENTRO ; RUA CRISTOVAM TOMÁS DANTAS, N. 109, ;76.753,69;132.500,00;42.08;Casa, 89.64 de área total, 89.64 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400738016
 8444406203688 ;RN ;ACU ;QUINTA DO FAROL ; RUA JOANA DARC DA ROCHA, N. 24, LT 522 QD I ;42.406,47;73.000,00;41.91;Casa, 45.30 de área total, 45.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406203688
 8444410029719 ;RN ;ACU ;FELIZ ASSU ; RUA ANTONIO SILVÉRIO DA SILVA, N. 1318, 0806 ;44.149,21;76.000,00;41.91;Casa, 52.00 de área total, 52.00 de área privativa, 225.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410029719
 8555509779150 ;RN ;ACU ;QUINTA DO FARO ;R DR CANDIDO DA CAMARA CALDAS, N. 185, LT 08A QD 13 ;17.427,32;30.000,00;41.91;Casa, 0.00 de área total, 70.00 de área privativa, 237.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555509779150
 8444402393768 ;RN ;ACU ;FELIZ ASSU ; AVENIDA PREFEITO WALTER DE SÁ LEITÃO, N. 974, LT 12 QD 12 ;96.000,33;162.000,00;40.75;Casa, 67.47 de área total, 67.47 de área privativa, 199.37 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402393768
 8444413334989 ;RN ;ACU ;CENTRO ; RUA FRANCISCO BELO DE OLIVEIRA, N. 449, ;68.797,93;115.000,00;40.18;Casa, 83.82 de área total, 83.82 de área privativa, 330.00 de área do terreno,  1 qto(s), WC, 2 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413334989
 1444406984410 ;RN ;ACU ;LOT MUN PARATI 2000 ; RUA MANOEL ALBANO SOBRINHO, N. 67, QD24 ;101.904,73;165.000,00;38.24;Casa, 129.15 de área total, 129.15 de área privativa, 210.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406984410
 8444400338263 ;RN ;CAICO ;SAMANAU ;RUA NOE IZIDRO, N. 160, QUADRA 25 LOTE 26 ;107.000,00;107.000,00;0.00;Casa, 66.39 de área total, 66.39 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400338263
 1444407745788 ;RN ;CAICO ;MAYNARD ;AV JUAREZ TAVORA, N. 151, LT 112-A, QD 11 ;310.919,02;273.000,00;0.00;Casa, 0.00 de área total, 126.75 de área privativa, 200.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407745788
 8444410476960 ;RN ;CAMPO REDONDO ;LOT CAMPO BELO ;RUA MARIA DA GUIA DE ARAUJO, N. 45, ;62.856,87;110.000,00;42.86;Casa, 97.21 de área total, 97.21 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410476960
 8555510908180 ;RN ;CAMPO REDONDO ;CENTRO ; RUA DR JORGE BORGES DE OLIVEIRA, N. SN, ;41.354,06;70.000,00;40.93;Casa, 64.31 de área total, 64.31 de área privativa, 71.11 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555510908180
 8444405564652 ;RN ;CAMPO REDONDO ;CENTRO ; RUA CIPRIANO PACHECO, N. SN, ;50.897,31;84.000,00;39.41;Casa, 77.25 de área total, 44.62 de área privativa, 71.94 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405564652
 8444412432510 ;RN ;CANGUARETAMA ;LAGOA DE SAO JOAO ;RUA OCEANIA PROJETADA 07, N. SN, LT 12 QD B ;16.428,03;85.000,00;80.68;Casa, 0.00 de área total, 64.00 de área privativa, 231.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412432510
 8444408894912 ;RN ;CANGUARETAMA ;LAGOA DE SAO JOAO ;RUA  OCEANIA ANTIGA RUA PROJETADA 7, N. SN, LT 09, QD D ;28.031,21;113.979,00;75.41;Casa, 0.00 de área total, 127.05 de área privativa, 231.04 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408894912
 8444408785455 ;RN ;CANGUARETAMA ;CENTRO ;RUA PROJETADA 7, N. SN, LT 24 QD D ;26.505,73;96.000,00;72.39;Casa, 0.00 de área total, 64.00 de área privativa, 231.04 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408785455
