
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555528096197 ;AM ;AUTAZES ;APARECIDA ;R JULIO LOBO, N. 173, ;74.780,36;125.000,00;40.18;Casa, 0.00 de área total, 84.00 de área privativa, 812.42 de área do terreno,  4 qto(s), varanda, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555528096197
 10222108 ;AM ;AUTAZES ;JAIR MENEZES TUPINAM ;RUA 03, N. 00, ST 05, QD 07 ;279.143,66;438.000,00;36.27;Casa, 0.00 de área total, 324.00 de área privativa, 360.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10222108
 10147353 ;AM ;BORBA ;CENTRO ;AVENIDA SILVERIO NERY, N. S/N ;188.114,28;365.000,00;48.47;Loja, 0.00 de área total, 79.20 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10147353
 8444406754986 ;AM ;BORBA ;CRISTO REI ;ESTRADA BORBA MAPIA, N. 1, CASA 01 ;51.775,97;92.000,00;43.73;Casa, 0.00 de área total, 63.00 de área privativa, 207.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406754986
 8444412162815 ;AM ;BORBA ;IPIRANGA ;RUA PROJETADA (AV SILVÉRIO NERY), N. SN, LT 03 ;53.260,44;92.000,00;42.11;Casa, 0.00 de área total, 60.00 de área privativa, 126.40 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412162815
 1444403921492 ;AM ;COARI ;VALE DA BENÇÃO ;RUA ZINEZIO LEITAO DE MENEZES, QD 08 LT 09 ;89.661,41;163.000,00;45.00;Casa, 0.00 de área total, 105.00 de área privativa, 200.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444403921492
 1555526643620 ;AM ;GUAJARA ;CENTRO ;RUA ALONSO BARBOSA, N. SN, QD 37 LT 03 ;83.639,97;154.000,00;45.69;Casa, 0.00 de área total, 180.00 de área privativa, 1125.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha, 5 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555526643620
 8787710637733 ;AM ;IRANDUBA ;EST CARLOS BRAGA ;RUA LAGO DO PATO, N. KM 08, LT 23 QD 32 ;88.990,38;152.000,00;41.46;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710637733
 8787711289763 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;RUA LAGO DO TESTE - ESTRADA CARLOS BRAGA KM 08, N. SN, LT 11 QD 38 ;81.964,82;140.000,00;41.46;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711289763
 8555532493691 ;AM ;IRANDUBA ;CENTRO ;ESTRADA MANOEL URBANO, N. 8, Apto 203, BL C  - SUBCOND ORQUIDEA KM 09 LT 36 ;86.180,15;147.200,00;41.46;Apartamento, 0.00 de área total, 59.86 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555532493691
 8787710637849 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ; RUA IAGO DO MUDO, N. SN, LT 09 QD 34 KM 08 ;94.815,14;160.000,00;40.75;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710637849
 8787710966133 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;RUA LAGO DO PATO, N. SN, LT 23 QD 31 ;106.074,43;179.000,00;40.75;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710966133
 8787711213570 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;RUA LAGO DO GUEDES, N. SN, LT 29 QD 37 ;106.667,03;180.000,00;40.75;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711213570
 8787711334564 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;RUA LAGO DO TESTE, N. SN, LT 13 QD 38 ;94.815,14;160.000,00;40.75;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711334564
 8787710874557 ;AM ;IRANDUBA ;EST CARLOS BRAGA ;RUA LAGO DO CACAU, N. SN, LT51 QD 31 ;113.629,74;188.000,00;39.56;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710874557
 8787711334327 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ; RUA LAGO DO GUEDES, N. 14, LOTE 14 QUADRA 36 ;119.009,02;196.900,00;39.56;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711334327
 8787714315161 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;RUA AÇUTUBA, N. SN, LOTE 28 QUADRA 12 ;114.838,57;190.000,00;39.56;Casa, 54.09 de área total, 54.09 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714315161
 8787714661736 ;AM ;IRANDUBA ;EST CARLOS BRAGA ;RUA DO INGLÊS, N. SN, QD 17 LT 31 ESTRADA CARLOS BRAGA KM 08 ;114.838,57;190.000,00;39.56;Casa, 54.09 de área total, 54.09 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714661736
 1787701025820 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ; R. LAGO DO TESTE, N. 14, QD 38 LT 14 RES GOLDEN NOVA AMAZONAS ;123.933,45;196.900,00;37.06;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701025820
 1787702033052 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;RUA ACAJATUBA, N. SN, LT 15 QD 41 ;190.000,00;190.000,00;0.00;Casa, 54.09 de área total, 54.09 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787702033052
 8555529892815 ;AM ;IRANDUBA ;ZONA RURAL ; ESTRADA MANOEL URBANO, N. S/N, Apto 103, BL P ;205.100,00;205.100,00;0.00;Apartamento, 59.86 de área total, 59.86 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555529892815
 8787711364609 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;RUA LAGO DO MUNDO, N. SN, LT 25 QD 35 KM 08 ;184.500,00;184.500,00;0.00;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711364609
