
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444409733270 ;PI ;AGUA BRANCA ;POEIRÃO ;RUA PROJETADA OITO, N. SN, LT 01 QD A1 ;57.714,04;101.000,00;42.86;Casa, 0.00 de área total, 76.40 de área privativa, 300.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409733270
 8444414362595 ;PI ;AGUA BRANCA ;TINGUIS ;AV JOAO FERREIRA, N. SN, LT 08 QD 12 ;57.927,83;101.374,14;42.86;Casa, 0.00 de área total, 73.50 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414362595
 8444410879631 ;PI ;AGUA BRANCA ;POEIRÃO ;R DEZ, N. SN, QD Q LT 14 ;65.128,21;113.615,58;42.68;Casa, 0.00 de área total, 69.32 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410879631
 8444409561755 ;PI ;AGUA BRANCA ;TINGUIS ;LUIZA DE PAIVA VASCONCELOS, N. SN, LT17 QD 15 -LOT SAMBAIBA DOS VASCONCEL ;49.581,47;85.645,09;42.11;Casa, 49.28 de área total, 49.28 de área privativa, 140.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409561755
 8444411261941 ;PI ;AGUA BRANCA ;SÃO LUIS ;AV MARIA DE SOUSA, N. SN, LT 06 QD D ;57.750,52;99.756,00;42.11;Casa, 0.00 de área total, 61.20 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411261941
 8444417071230 ;PI ;AGUA BRANCA ;POEIRÃO ; RUA OITO, N. S/N, LT 121 ;49.035,90;84.702,70;42.11;Casa, 63.00 de área total, 63.00 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417071230
 8444401399665 ;PI ;AGUA BRANCA ;NOVA BRASILIA ; RUA JONAS FERNANDES LIMA, N. 376, ;33.564,56;57.779,22;41.91;Casa, 59.86 de área total, 59.86 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401399665
 8444414363230 ;PI ;AGUA BRANCA ;ALTO DO AÇUDE ;RUA 12, N. SN, LT 12 QD Q ;88.195,48;150.642,27;41.46;Casa, 0.00 de área total, 60.84 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414363230
 8444429810904 ;PI ;AGUA BRANCA ;POEIRÃO ; RUA UM, N. S/N, LT 11A QD P ;83.135,75;142.000,00;41.46;Casa, 71.68 de área total, 71.68 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429810904
 8444421475626 ;PI ;AGUA BRANCA ;ALTO DO AÇUDE ; RUA SEIS, N. SN, LT 07 QD X ;105.481,84;178.000,00;40.75;Casa, 65.74 de área total, 65.74 de área privativa, 190.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421475626
 1555534965665 ;PI ;AGUA BRANCA ;POEIRÃO ; RUA NOVE, N. SN, LT 10 QD R ;78.500,26;129.906,47;39.58;Casa, 125.42 de área total, 125.42 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555534965665
 8444430521759 ;PI ;AGUA BRANCA ;POEIRÃO ; RUA PROJETADA 11, N. SN, LT 111 QD ;129.948,90;215.000,00;39.56;Casa, 120.00 de área total, 120.00 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430521759
 10267664 ;PI ;AGUA BRANCA ;BULUNGÃO ;RUA JESIMON HENRIQUE DE CARVALHO, N. 00, QD 01, LT 04 ;93.402,34;153.000,00;38.96;Casa, 0.00 de área total, 123.97 de área privativa, 300.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10267664
 8444410604195 ;PI ;AGUA BRANCA ;POEIRÃO ; RUA 8, N. SN, LT 42 ;96.154,77;96.154,77;0.00;Casa, 62.32 de área total, 62.32 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410604195
 8444414176457 ;PI ;AGUA BRANCA ;COMPASA ; RUA DEPUTADO GOMES CALADO, N. 10, LT 10 QD W ;110.000,00;110.000,00;0.00;Casa, 63.00 de área total, 63.00 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414176457
 8555520216388 ;PI ;AGUA BRANCA ;SAMBAIBA ; RUA CLEBER SOARES, N. S/N, QD C LT 19 ;73.470,31;73.470,31;0.00;Casa, 54.65 de área total, 54.65 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555520216388
 8555527845003 ;PI ;AGUA BRANCA ;LOTEAMENTO SOARES 3 ; RUA VITA DIAS, N. SN, QD K LT 8 ;108.000,00;108.000,00;0.00;Casa, 80.00 de área total, 80.00 de área privativa, 202.30 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555527845003
 8555530349682 ;PI ;AGUA BRANCA ;CENTRO ; RUA SÃO JOÃO INÁCIO MONTEIRO, N. SN, LT 10 QD I ;110.000,00;110.000,00;0.00;Casa, 70.00 de área total, 70.00 de área privativa, 202.40 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, Terraco.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555530349682
 8444409908062 ;PI ;AGUA BRANCA ;POEIRÃO ; RUA PROJETADA 08, N. SN, LT 21A ;77.778,68;23.000,00;0.00;Casa, 0.00 de área total, 61.24 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409908062
 8444412909961 ;PI ;ALAGOINHA DO PIAUI ;CENTRO ;RUA VALENTIM ROCHA, N. 35, LT 4 ;34.728,27;125.700,00;72.38;Casa, 0.00 de área total, 70.00 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412909961
 8444406800465 ;PI ;ALAGOINHA DO PIAUI ;SAO JOSE ;RUA ANA PATURI, N. 105, . ;35.440,55;71.055,03;50.13;Casa, 0.00 de área total, 60.00 de área privativa, 168.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406800465
 8444410428133 ;PI ;ALAGOINHA DO PIAUI ;CENTRO ; RUA JOSE CLEMENTINO, N. 70, ;46.096,33;91.000,00;49.35;Casa, 0.00 de área total, 70.00 de área privativa, 203.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410428133
