
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555535630916 ;CE ;AQUIRAZ ;TAPERA ;RUA ERNESTO BENTO DE FREITA, N. 856, CS 15 VAGA 15 ;88.990,38;152.000,00;41.46;Casa, 0.00 de área total, 77.00 de área privativa, 89.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555535630916
 8555534119428 ;CE ;AQUIRAZ ;TAPERA ; RUA  ERNESTO BENTO DE FREITAS, N. 856, CS 07 ;91.570,92;150.000,00;38.96;Casa, 77.00 de área total, 77.00 de área privativa, 92.42 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555534119428
 1444406878245 ;CE ;AQUIRAZ ;PAU POMBO ;RUA A, N. SN, LT 12 13 28 E 29 QD 02 ;423.814,01;665.000,00;36.27;Casa, 445.00 de área total, 445.00 de área privativa, 1584.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406878245
 1444413147811 ;CE ;CANINDE ;RIACHO SAO FRANCISCO ; RUA B, N. 161, ;98.816,70;160.000,00;38.24;Casa, 89.95 de área total, 89.95 de área privativa, 131.62 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444413147811
 8074600002869 ;CE ;CANINDE ;SANTA LUZIA ; AVLUCIANO MAGALHÃES, N. 1731, ;146.000,00;146.000,00;0.00;Casa, 67.80 de área total, 67.80 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8074600002869
 10284146 ;CE ;CANINDE ;CENTRO ;RUA FREI COSMO, N. S/N, Unidade SN ;200.000,00;128.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 900.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10284146
 10202965 ;CE ;CARIRIACU ;PADRE CÍCERO ;RUA JOAQUIM ROMÃO BATISTA, N. 00, GLEBA A1-2 ;11.845,67;22.724,00;47.88;Terreno, 0.00 de área total, 0.00 de área privativa, 197.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10202965
 8444409174620 ;CE ;CASCAVEL ;JARDIM PRIMAVERA ; RUA 1, N. 1364, ;91.866,97;159.000,00;42.23;Casa, 0.00 de área total, 84.00 de área privativa, 145.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409174620
 8444417033452 ;CE ;CASCAVEL ;JARDIM PRIMAVERA ; RUA A, N. 2236-A, LOT RES JARDIM PRIMAVERA ;74.146,96;128.000,00;42.08;Casa, 72.35 de área total, 72.35 de área privativa, 135.57 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417033452
 8444420304437 ;CE ;CASCAVEL ;LOT SOLAR CASCAVEL ; RUA MANOEL CARLOS OLIVEIRA, N. 1460 A, QD F LT 18 MATA-QUIRI ;72.988,41;126.000,00;42.08;Casa, 59.82 de área total, 59.82 de área privativa, 100.87 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420304437
 8787700925205 ;CE ;CASCAVEL ;LT PRIME RES II ; JOSE QUARIGAZIL, N. 334, LT 14 QD 02 ;114.838,57;190.000,00;39.56;Casa, 84.00 de área total, 84.00 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700925205
 10217326 ;CE ;CASCAVEL ;PARQUE URUPÊ ;RUA JOÃO IRINEU FILHO, N. 868, QD 17, PARTE LT 06 ;86.076,66;141.000,00;38.96;Casa, 0.00 de área total, 79.00 de área privativa, 210.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10217326
 10217328 ;CE ;CASCAVEL ;PARQUE URUPÊ ;RUA JOÃO IRINEU FILHO, N. 862, QD 17, PARTE LT 06 ;96.963,89;157.000,00;38.24;Casa, 0.00 de área total, 79.00 de área privativa, 210.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10217328
 8444401336795 ;CE ;CASCAVEL ;CORRENTE ARGEMIRO ; RUA SAO SACRISTAO FRANCISCO JOSE DE OLIVEIRA, N. 618, QD 19 LT 10 ;127.772,93;203.000,00;37.06;Casa, 105.00 de área total, 105.00 de área privativa, 363.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401336795
 8444402516193 ;CE ;CASCAVEL ;MATA-QUIRI ; RUA 12, N. 667, ;116.443,31;185.000,00;37.06;Casa, 89.00 de área total, 89.00 de área privativa, 240.21 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402516193
 8444408454564 ;CE ;CATUANA ;CATUANA ;R 26, N. 34, LOT ARATURI ;87.819,45;150.000,00;41.46;Casa, 0.00 de área total, 62.50 de área privativa, 125.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408454564
 8555521957446 ;CE ;CAUCAIA ;PQ MALOUBER ;RUA ANTONIO MOREIRA DA ROCHA, N. 855, Apto 203, BL A ;62.303,06;120.000,00;48.09;Apartamento, 0.00 de área total, 45.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555521957446
 8444430072903 ;CE ;CAUCAIA ;JANDAIGUABA ; RUA CAMPOS VERDES, N. 54, Apto 406, BL B, ATUAL RUA JANDAIGUABINHA ;93.242,80;169.000,00;44.83;Apartamento, 0.00 de área total, 50.80 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430072903
 1444417110548 ;CE ;CAUCAIA ;TOCO (JUREMA) ;RUA 07, N. 755, CS 01 LOT LINO DA SILVEIRA ;83.185,48;150.000,00;44.55;Casa, 0.00 de área total, 48.64 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417110548
 8787712861630 ;CE ;CAUCAIA ;MARECHAL RONDON (JUREMA) ;RUA IDEALISTA, N. 355, Apto 301, PAV 3º BL 11 ;62.856,87;110.000,00;42.86;Apartamento, 84.49 de área total, 42.64 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712861630
 8444425078869 ;CE ;CAUCAIA ;PAUMIRIM ;RUA 1, N. 45, Apto 002A, BL 01 ;92.444,76;160.000,00;42.23;Apartamento, 0.00 de área total, 54.65 de área privativa, 0.00 de área do terreno, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425078869
 10203828 ;CE ;CAUCAIA ;ALTO DO GARROTE ;RODOVIA CE-085 (RODOVIA ESTRUTURANTE), N. 00, KM 21 E 22 ;945.513,01;1.630.000,00;42.00;Gleba Urbana, 0.00 de área total, 0.00 de área privativa, 50000.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10203828
 8555525811403 ;CE ;CAUCAIA ;CENTRO ;RUA FRANCISCO JOSE FORTE, N. 707, Apto 407, TIPO 01 TORRE E ;81.964,82;140.000,00;41.46;Apartamento, 64.84 de área total, 48.30 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555525811403
