
 Lista de Imóveis da Caixa;;Data de geração:;30/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555528096197 ;AM ;AUTAZES ;APARECIDA ;R JULIO LOBO, N. 173, ;74.780,36;125.000,00;40.18;Casa, 0.00 de área total, 84.00 de área privativa, 812.42 de área do terreno,  4 qto(s), varanda, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555528096197
 10222108 ;AM ;AUTAZES ;JAIR MENEZES TUPINAM ;RUA 03, N. 00, ST 05, QD 07 ;279.143,66;438.000,00;36.27;Casa, 0.00 de área total, 324.00 de área privativa, 360.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10222108
 10147353 ;AM ;BORBA ;CENTRO ;AVENIDA SILVERIO NERY, N. S/N ;193.198,45;365.000,00;47.07;Loja, 0.00 de área total, 79.20 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10147353
 8444406754986 ;AM ;BORBA ;CRISTO REI ;ESTRADA BORBA MAPIA, N. 1, CASA 01 ;50.005,20;92.000,00;45.65;Casa, 0.00 de área total, 63.00 de área privativa, 207.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406754986
 8444412162815 ;AM ;BORBA ;IPIRANGA ;RUA PROJETADA (AV SILVÉRIO NERY), N. SN, LT 03 ;53.260,44;92.000,00;42.11;Casa, 0.00 de área total, 60.00 de área privativa, 126.40 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412162815
 1444403921492 ;AM ;COARI ;VALE DA BENÇÃO ;RUA ZINEZIO LEITAO DE MENEZES, QD 08 LT 09 ;90.761,56;163.000,00;44.32;Casa, 0.00 de área total, 105.00 de área privativa, 200.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444403921492
 1555526643620 ;AM ;GUAJARA ;CENTRO ;RUA ALONSO BARBOSA, N. SN, QD 37 LT 03 ;62.929,09;154.000,00;59.14;Casa, 0.00 de área total, 180.00 de área privativa, 1125.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha, 5 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555526643620
 1444408167141 ;AM ;IRANDUBA ;CENTRO ;RODOVIA CARLOS BRAGA  KM 05, N. SN, CS 03 ;83.053,20;212.000,00;60.83;Casa, 0.00 de área total, 69.00 de área privativa, 471.30 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408167141
 8555532493691 ;AM ;IRANDUBA ;CENTRO ;ESTRADA MANOEL URBANO, N. 8, Apto 203, BL C  - SUBCOND ORQUIDEA KM 09 LT 36 ;86.180,15;147.200,00;41.46;Apartamento, 0.00 de área total, 59.86 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555532493691
 8787710637849 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ; RUA IAGO DO MUDO, N. SN, LT 09 QD 34 KM 08 ;94.815,14;160.000,00;40.75;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710637849
 8787710966133 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;RUA LAGO DO PATO, N. SN, LT 23 QD 31 ;106.074,43;179.000,00;40.75;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710966133
 8787711213570 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;RUA LAGO DO GUEDES, N. SN, LT 29 QD 37 ;106.667,03;180.000,00;40.75;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711213570
 8787711334564 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;RUA LAGO DO TESTE, N. SN, LT 13 QD 38 ;94.815,14;160.000,00;40.75;Casa, 52.30 de área total, 52.30 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711334564
