
 Lista de Imóveis da Caixa;;Data de geração:;13/02/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555507896020 ;MS ;AQUIDAUANA ;Guanandy ;R MANOEL A. P. DE BARROS, N. 1831, LT 12 QD 83 ;229.433,15;360.000,00;36.27;Casa, 0.00 de área total, 246.01 de área privativa, 936.25 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555507896020
 8444405135859 ;MS ;AQUIDAUANA ;PINHEIRO ; RUA JAIME ARTIGAS, N. 398, LT 07, QD 538 DA PCC ;178.000,00;178.000,00;0.00;Casa, 70.25 de área total, 70.25 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405135859
 8444400777429 ;MS ;BATAYPORA ;CENTRO ;RUA ANTONIO NUNES DA COSTA, N. 1502, LT 14-A QD 40 ;145.000,00;145.000,00;0.00;Casa, 0.00 de área total, 75.36 de área privativa, 210.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400777429
 1444419439695 ;MS ;CAMPO GRANDE ;PANORAMA ;RUA LAGOA RICA, N. 566, LT 03 ;200.765,04;411.000,00;51.16;Casa, 0.00 de área total, 119.99 de área privativa, 200.00 de área do terreno, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419439695
 10170149 ;MS ;CAMPO GRANDE ;AMAMBAI ;AVENIDA AFONSO PENA(ATUAL AV MARECHAL MALLET), N. S/N, QD 377, LT 20, ESQUINA RUA DO BANANAL ;39.779,30;80.000,00;50.28;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10170149
 8555511338530 ;MS ;CAMPO GRANDE ;Varanda do Campo ;RUA JOSÉ PEDROSSIAN, N. 1227, Apto 04, BL 22, QD 03, LT 01 ;59.257,55;114.000,00;48.02;Apartamento, 0.00 de área total, 42.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555511338530
 8444419789716 ;MS ;CAMPO GRANDE ;NOVA LIMA ;TRAVESSA MACUIM, N. 62, CS 01, LT 03, QD 52 ;88.984,56;170.000,00;47.66;Casa, 0.00 de área total, 53.79 de área privativa, 119.30 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419789716
 8444411029747 ;MS ;CAMPO GRANDE ;VILA NOVA CAMPO GRANDE ;RUA 105, N. 128, CS 02 ;121.109,35;229.000,00;47.12;Casa, 0.00 de área total, 73.35 de área privativa, 154.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411029747
 8555530697931 ;MS ;CAMPO GRANDE ;PIONEIROS ;AVENIDA SENADOR ANTONIO MENDES CANALE, N. 725, Apto 304, BL 14 LT 1C VG 288 ;121.638,22;230.000,00;47.12;Apartamento, 0.00 de área total, 46.18 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555530697931
 10198061 ;MS ;CAMPO GRANDE ;VILA SANTA LUZIA ;RUA ABRAAO BACACH, N. SN, LT A4 CA ;2.270.666,15;4.250.000,00;46.58;Terreno, 0.00 de área total, 0.00 de área privativa, 22892.98 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10198061
 1444416527216 ;MS ;CAMPO GRANDE ;JARDIM CENTENARIO ;RUA ITAITUBA, N. 258, Apto 103, BL E ;60.120,73;112.000,00;46.33;Apartamento, 48.14 de área total, 44.98 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416527216
 8444414273460 ;MS ;CAMPO GRANDE ;RIVIERA PARK ;RUA JORNALISTA JOSE FILINTO DA SILVA, N. 375, CS 02 ;94.898,00;172.000,00;44.83;Casa, 0.00 de área total, 59.00 de área privativa, 120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414273460
 1444419521464 ;MS ;CAMPO GRANDE ;JARDIM SAO CONRADO ;AVENIDA GENERAL ALBERTO CARLOS MENDONCA, N. 2398, Apto 104, BL I,  LT 12-A, QD 119 ;88.935,03;160.000,00;44.42;Apartamento, 0.00 de área total, 51.22 de área privativa, 544.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419521464
 8444414513453 ;MS ;CAMPO GRANDE ;PARQUE DO LAGEADO ;RUA LEOPOLDINA DE QUEIROZ MAIA, N. 1000, CS 01, LT 02, QD 56 ;92.889,20;165.000,00;43.71;Casa, 45.26 de área total, 45.26 de área privativa, 139.31 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414513453
 8444416509860 ;MS ;CAMPO GRANDE ;JARDIM CENTRO OESTE ;RUA LEVI PEREIRA, N. 550, CASA 07 ;116.030,74;206.000,00;43.68;Casa, 0.00 de área total, 58.84 de área privativa, 0.01 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416509860
 1444417346479 ;MS ;CAMPO GRANDE ;CONJUNTO RESIDENCIAL BOTAFOGO ;TRAVESSA IRACEMA DE OLIVEIRA, N. 74, Apto 02, ;84.207,30;149.122,00;43.54;Apartamento, 0.00 de área total, 40.26 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417346479
 8555510158415 ;MS ;CAMPO GRANDE ;VARANDAS DO CAMPO ;RUA ARTUR NOGUEIRA, N. 110, Apto 02,  BL 07 ;75.117,23;133.000,00;43.53;Apartamento, 47.61 de área total, 42.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555510158415
 8444432790463 ;MS ;CAMPO GRANDE ;VARANDAS DO CAMPO ;RUA FRANCISCO MORATO, N. 74, Apto 03, BLOCO 19 ;62.856,87;110.000,00;42.86;Apartamento, 47.59 de área total, 42.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444432790463
 1444418876650 ;MS ;CAMPO GRANDE ;CAIOBA ;RUA GUAVIRAL, N. 491, LT 18, QD 09 ;140.527,80;245.000,00;42.65;Casa, 0.00 de área total, 109.80 de área privativa, 200.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418876650
 8787712822570 ;MS ;CAMPO GRANDE ;CENTENARIO ;RUA PADRE JULIAO URQUIZA, N. 146, Apto 02, BL 7 PAVIMENTO TERREO ;114.838,56;200.000,00;42.59;Apartamento, 0.00 de área total, 43.20 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712822570
 8787701623580 ;MS ;CAMPO GRANDE ;BAIRRO SEMINARIO ;AVENIDA PREFEITO HERACLITO JOSE DINIZ DE FIGUEIRED, N. 815, Apto 302, BL 48 VAGA 117 ;111.206,96;192.500,00;42.24;Apartamento, 0.00 de área total, 39.96 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701623580
